original_value,translated_value,detected_language,harmonised_value,cosine_similarity,used_fallback
I don't work,I don't work,af,I don't work,1.0000001192092896,False
Finance or insurance,Finance or insurance,en,Finance or insurance,1.0000001192092896,False
Utilities,Utilities,fr,Utilities,1.0,False
Manufacturing,Manufacturing,ro,Manufacturing,1.0,False
"Professional, scientific or technical services","Professional, scientific or technical services",en,"Professional, scientific or technical services",1.0000001192092896,False
Housewife,Housewife,en,Housewife,1.0000001192092896,False
Accommodation or food services,Accommodation or food services,en,Accommodation or food services,0.9999998807907104,False
"Professional, scientific or technical services","Professional, scientific or technical services",en,"Professional, scientific or technical services",1.0000001192092896,False
Public administration,Public administration,en,Public administration,1.0000001192092896,False
"Professional, scientific or technical services","Professional, scientific or technical services",en,"Professional, scientific or technical services",1.0000001192092896,False
Information and cultural industries,Information and cultural industries,en,Information and cultural industries,1.0000001192092896,False
Retail trade,Retail trade,pt,Retail trade,1.0000001192092896,False
"Arts, entertainment or recreation","Arts, entertainment or recreation",en,"Arts, entertainment or recreation",0.9999999403953552,False
Manufacturing,Manufacturing,ro,Manufacturing,1.0,False
"Admin, support, waste management or remediation services","Admin, support, waste management or remediation services",en,"Admin, support, waste management or remediation services",1.0,False
Health care or social assistance,Health care or social assistance,en,Health care or social assistance,1.0,False
Transportation,Transportation,en,Transportation,1.0,False
Retired,Retired,tr,Retired,1.000000238418579,False
Finance or insurance,Finance or insurance,en,Finance or insurance,1.0000001192092896,False
Health care or social assistance,Health care or social assistance,en,Health care or social assistance,1.0,False
I don't work,I don't work,af,I don't work,1.0000001192092896,False
Educational services,Educational services,en,Educational services,1.0000001192092896,False
restauração,restoration,pt,"Admin, support, waste management or remediation services",0.38811707496643066,False
Public administration,Public administration,en,Public administration,1.0000001192092896,False
Management of companies or enterprises,Management of companies or enterprises,en,Management of companies or enterprises,1.0000001192092896,False
Health care or social assistance,Health care or social assistance,en,Health care or social assistance,1.0,False
Retail trade,Retail trade,pt,Retail trade,1.0000001192092896,False
Housewife,Housewife,en,Housewife,1.0000001192092896,False
Retired,Retired,tr,Retired,1.000000238418579,False
Utilities,Utilities,fr,Utilities,1.0,False
Public administration,Public administration,en,Public administration,1.0000001192092896,False
Transportation,Transportation,en,Transportation,1.0,False
Finance or insurance,Finance or insurance,en,Finance or insurance,1.0000001192092896,False
Finance or insurance,Finance or insurance,en,Finance or insurance,1.0000001192092896,False
Educational services,Educational services,en,Educational services,1.0000001192092896,False
Information and cultural industries,Information and cultural industries,en,Information and cultural industries,1.0000001192092896,False
Finance or insurance,Finance or insurance,en,Finance or insurance,1.0000001192092896,False
Educational services,Educational services,en,Educational services,1.0000001192092896,False
Retail trade,Retail trade,pt,Retail trade,1.0000001192092896,False
Management of companies or enterprises,Management of companies or enterprises,en,Management of companies or enterprises,1.0000001192092896,False
Manufacturing,Manufacturing,ro,Manufacturing,1.0,False
Wholesale trade,Wholesale trade,es,Wholesale trade,1.0000001192092896,False
Finance or insurance,Finance or insurance,en,Finance or insurance,1.0000001192092896,False
Manufacturing,Manufacturing,ro,Manufacturing,1.0,False
Educational services,Educational services,en,Educational services,1.0000001192092896,False
"Professional, scientific or technical services","Professional, scientific or technical services",en,"Professional, scientific or technical services",1.0000001192092896,False
Public administration,Public administration,en,Public administration,1.0000001192092896,False
Health care or social assistance,Health care or social assistance,en,Health care or social assistance,1.0,False
Public administration,Public administration,en,Public administration,1.0000001192092896,False
Finance or insurance,Finance or insurance,en,Finance or insurance,1.0000001192092896,False
,,,other,,True
Manufacturing,Manufacturing,ro,Manufacturing,1.0,False
"Professional, scientific or technical services","Professional, scientific or technical services",en,"Professional, scientific or technical services",1.0000001192092896,False
Information and cultural industries,Information and cultural industries,en,Information and cultural industries,1.0000001192092896,False
Transportation,Transportation,en,Transportation,1.0,False
Manufacturing,Manufacturing,ro,Manufacturing,1.0,False
Finance or insurance,Finance or insurance,en,Finance or insurance,1.0000001192092896,False
Consultant,Consultant,ca,"Professional, scientific or technical services",0.5059877038002014,False
"Agriculture, forestry, fishing and hunting","Agriculture, forestry, fishing and hunting",en,"Agriculture, forestry, fishing and hunting",1.0,False
Health care or social assistance,Health care or social assistance,en,Health care or social assistance,1.0,False
Utilities,Utilities,fr,Utilities,1.0,False
Real estate or rental and leasing,Real estate or rental and leasing,en,Real estate or rental and leasing,0.9999999403953552,False
"Professional, scientific or technical services","Professional, scientific or technical services",en,"Professional, scientific or technical services",1.0000001192092896,False
Finance or insurance,Finance or insurance,en,Finance or insurance,1.0000001192092896,False
Finance or insurance,Finance or insurance,en,Finance or insurance,1.0000001192092896,False
Public administration,Public administration,en,Public administration,1.0000001192092896,False
Construction,Construction,en,Construction,0.9999999403953552,False
"Professional, scientific or technical services","Professional, scientific or technical services",en,"Professional, scientific or technical services",1.0000001192092896,False
I don't work,I don't work,af,I don't work,1.0000001192092896,False
"Agriculture, forestry, fishing and hunting","Agriculture, forestry, fishing and hunting",en,"Agriculture, forestry, fishing and hunting",1.0,False
Construction,Construction,en,Construction,0.9999999403953552,False
Public administration,Public administration,en,Public administration,1.0000001192092896,False
Finance or insurance,Finance or insurance,en,Finance or insurance,1.0000001192092896,False
Transportation,Transportation,en,Transportation,1.0,False
Public administration,Public administration,en,Public administration,1.0000001192092896,False
Finance or insurance,Finance or insurance,en,Finance or insurance,1.0000001192092896,False
Construction,Construction,en,Construction,0.9999999403953552,False
Accommodation or food services,Accommodation or food services,en,Accommodation or food services,0.9999998807907104,False
Keine,No,de,other,0.4104595482349396,False
